produkt_id,produkt,wariant_id,pozycja,szerokosc_od_mm,szerokosc_do_mm,wysokosc_od_mm,wysokosc_do_mm,minimalna_glebokosc_mm,wykonczenie,cena_brutto_pln,zrodlo_selly
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,647,1,350,410,626,830,300,Aluminium decor,958,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,648,2,350,410,626,830,300,Biały RAL 9010,958,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,649,3,350,410,831,1050,300,Aluminium decor,992,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,650,4,350,410,831,1050,300,Biały RAL 9010,992,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,651,5,350,410,1051,1240,300,Aluminium decor,1037,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,652,6,350,410,1051,1240,300,Biały RAL 9010,10037,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,653,7,350,410,1241,1400,300,Aluminium decor,1105,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,654,8,350,410,1241,1400,300,Biały RAL 9010,1105,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,655,9,350,410,1401,1600,300,Aluminium decor,1150,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,656,10,350,410,1401,1600,300,Biały RAL 9010,1150,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,657,11,350,410,1601,1800,300,Aluminium decor,1167,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,658,12,350,410,1601,1800,300,Biały RAL 9010,1167,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,659,13,350,410,1801,2000,300,Aluminium decor,1207,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,660,14,350,410,1801,2000,300,Biały RAL 9010,1207,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,661,15,350,410,350,625,300,Aluminium decor,911,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,662,16,350,410,350,625,300,Biały RAL 9010,911,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,663,17,411,495,626,830,300,Aluminium decor,1003,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
